,index,algo,cell,dset,measure,split,value
0,0,stm,0,1,corr,test,0.524730981559951
1,1,stm,1,1,corr,test,0.48611735593820293
2,2,stm,2,1,corr,test,0.4545474193573354
3,3,stm,3,1,corr,test,0.5120643385102494
4,4,stm,4,1,corr,test,0.560147979737305
5,0,stm,0,1,corr_bits,test,0.4646290149103881
6,1,stm,1,1,corr_bits,test,0.3889411203551051
7,2,stm,2,1,corr_bits,test,0.3339039845711898
8,3,stm,3,1,corr_bits,test,0.43871763859426477
9,4,stm,4,1,corr_bits,test,0.5432269815326679
10,0,stm,0,1,rank,test,0.3154309571073334
11,1,stm,1,1,rank,test,0.3228485922386603
12,2,stm,2,1,rank,test,0.250768748733696
13,3,stm,3,1,rank,test,0.2993455030037457
14,4,stm,4,1,rank,test,0.30774373522520077
15,0,stm,0,1,info,test,4.293819890273106
16,1,stm,1,1,info,test,4.357580653727723
17,2,stm,2,1,info,test,2.9729015322929477
18,3,stm,3,1,info,test,3.3375509379499197
19,4,stm,4,1,info,test,4.239707694040651
20,0,stm,0,1,auc,test,0.8553456756626123
21,1,stm,1,1,auc,test,0.876049715261312
22,2,stm,2,1,auc,test,0.8639051161083793
23,3,stm,3,1,auc,test,0.9313856700696388
24,4,stm,4,1,auc,test,0.9237604724722579
25,0,chenkov,0,1,corr,test,0.5616307002859661
26,1,chenkov,1,1,corr,test,0.5864440686439667
27,2,chenkov,2,1,corr,test,0.5491361426682534
28,3,chenkov,3,1,corr,test,0.5966769292847737
29,4,chenkov,4,1,corr,test,0.6036639588360262
30,0,chenkov,0,1,corr_bits,test,0.5467280088025287
31,1,chenkov,1,1,corr_bits,test,0.6080489762767881
32,2,chenkov,2,1,corr_bits,test,0.517772293251267
33,3,chenkov,3,1,corr_bits,test,0.634919734181569
34,4,chenkov,4,1,corr_bits,test,0.6538320662119392
35,0,chenkov,0,1,rank,test,0.3125377410197706
36,1,chenkov,1,1,rank,test,0.32259444216263367
37,2,chenkov,2,1,rank,test,0.25576716625813223
38,3,chenkov,3,1,rank,test,0.3002088675896479
39,4,chenkov,4,1,rank,test,0.3110204895243164
40,0,chenkov,0,1,info,test,4.398989190380895
41,1,chenkov,1,1,info,test,4.779587284386464
42,2,chenkov,2,1,info,test,3.344925493960077
43,3,chenkov,3,1,info,test,3.527921604200312
44,4,chenkov,4,1,info,test,4.41187259127862
45,0,chenkov,0,1,auc,test,0.8520174233801435
46,1,chenkov,1,1,auc,test,0.8755642637934755
47,2,chenkov,2,1,auc,test,0.8710686647039128
48,3,chenkov,3,1,auc,test,0.9325759931298951
49,4,chenkov,4,1,auc,test,0.9282330871600193
50,0,deneux,0,1,corr,test,0.5730859159948943
51,1,deneux,1,1,corr,test,0.6116413541596553
52,2,deneux,2,1,corr,test,0.5778030156208003
53,3,deneux,3,1,corr,test,0.6187521375063719
54,4,deneux,4,1,corr,test,0.6254437856474903
55,0,deneux,0,1,corr_bits,test,0.5743848691928177
56,1,deneux,1,1,corr_bits,test,0.6760077804202533
57,2,deneux,2,1,corr_bits,test,0.5860947208093651
58,3,deneux,3,1,corr_bits,test,0.6963167480942906
59,4,deneux,4,1,corr_bits,test,0.7159121738784386
60,0,deneux,0,1,rank,test,0.3092905545231093
61,1,deneux,1,1,rank,test,0.3356660873597881
62,2,deneux,2,1,rank,test,0.26255573185608394
63,3,deneux,3,1,rank,test,0.3028912169527515
64,4,deneux,4,1,rank,test,0.31065790124764864
65,0,deneux,0,1,info,test,4.440653134489944
66,1,deneux,1,1,info,test,5.178310293746594
67,2,deneux,2,1,info,test,3.5863005786963527
68,3,deneux,3,1,info,test,3.6260592879653775
69,4,deneux,4,1,info,test,4.553837824884061
70,0,deneux,0,1,auc,test,0.8483345050975187
71,1,deneux,1,1,auc,test,0.8908804300373755
72,2,deneux,2,1,auc,test,0.8810579861465706
73,3,deneux,3,1,auc,test,0.9364467505194531
74,4,deneux,4,1,auc,test,0.9277217146298021
75,0,friedrich,0,1,corr,test,0.5520120288988926
76,1,friedrich,1,1,corr,test,0.6031332578760713
77,2,friedrich,2,1,corr,test,0.565016941325796
78,3,friedrich,3,1,corr,test,0.6086579547187226
79,4,friedrich,4,1,corr,test,0.6146762305079682
80,0,friedrich,0,1,corr_bits,test,0.524328360600988
81,1,friedrich,1,1,corr_bits,test,0.6523790747552952
82,2,friedrich,2,1,corr_bits,test,0.5547906071779913
83,3,friedrich,3,1,corr_bits,test,0.6676403733345191
84,4,friedrich,4,1,corr_bits,test,0.6846120010025514
85,0,friedrich,0,1,rank,test,0.34168790840356983
86,1,friedrich,1,1,rank,test,0.4105951455858113
87,2,friedrich,2,1,rank,test,0.3425647146148026
88,3,friedrich,3,1,rank,test,0.3780542312353116
89,4,friedrich,4,1,rank,test,0.38999023902366237
90,0,friedrich,0,1,info,test,4.130650624812372
91,1,friedrich,1,1,info,test,4.679152728629685
92,2,friedrich,2,1,info,test,3.432143057531511
93,3,friedrich,3,1,info,test,3.3009805552055704
94,4,friedrich,4,1,info,test,4.125820174671197
95,0,friedrich,0,1,auc,test,0.8220598022244557
96,1,friedrich,1,1,auc,test,0.8326557704822787
97,2,friedrich,2,1,auc,test,0.8512414776142201
98,3,friedrich,3,1,auc,test,0.896008463628422
99,4,friedrich,4,1,auc,test,0.8955824182332777
100,0,machado,0,1,corr,test,0.5324479266758247
101,1,machado,1,1,corr,test,0.5481319807574437
102,2,machado,2,1,corr,test,0.543176989086287
103,3,machado,3,1,corr,test,0.5758111844665755
104,4,machado,4,1,corr,test,0.5691534992459025
105,0,machado,0,1,corr_bits,test,0.4809629903957075
106,1,machado,1,1,corr_bits,test,0.5154981715502659
107,2,machado,2,1,corr_bits,test,0.5043892354024813
108,3,machado,3,1,corr_bits,test,0.5811268329016608
109,4,machado,4,1,corr_bits,test,0.5647676403156616
110,0,machado,0,1,rank,test,0.31707646567908476
111,1,machado,1,1,rank,test,0.31800104498093335
112,2,machado,2,1,rank,test,0.26831417692097914
113,3,machado,3,1,rank,test,0.30796580833602866
114,4,machado,4,1,rank,test,0.30595268141763854
115,0,machado,0,1,info,test,3.749870923692372
116,1,machado,1,1,info,test,3.492418728606271
117,2,machado,2,1,info,test,1.8948184591796915
118,3,machado,3,1,info,test,1.8860917920029046
119,4,machado,4,1,info,test,1.810318255981671
120,0,machado,0,1,auc,test,0.825641893181207
121,1,machado,1,1,auc,test,0.8515379662403295
122,2,machado,2,1,auc,test,0.859562780569601
123,3,machado,3,1,auc,test,0.9152891061090629
124,4,machado,4,1,auc,test,0.8993495820882472
125,0,mineault,0,1,corr,test,0.5154355882377809
126,1,mineault,1,1,corr,test,0.6184216652002728
127,2,mineault,2,1,corr,test,0.5770381650397889
128,3,mineault,3,1,corr,test,0.5968010502178519
129,4,mineault,4,1,corr,test,0.6152341684712855
130,0,mineault,0,1,corr_bits,test,0.44550710975942387
131,1,mineault,1,1,corr_bits,test,0.6953612963995266
132,2,mineault,2,1,corr_bits,test,0.5841830296874547
133,3,mineault,3,1,corr_bits,test,0.6352516392019822
134,4,mineault,4,1,corr_bits,test,0.6862040714517058
135,0,mineault,0,1,rank,test,0.36855005839695404
136,1,mineault,1,1,rank,test,0.3892326849880725
137,2,mineault,2,1,rank,test,0.2926356849418331
138,3,mineault,3,1,rank,test,0.3685485815041078
139,4,mineault,4,1,rank,test,0.4515877716889711
140,0,mineault,0,1,info,test,4.205933007340743
141,1,mineault,1,1,info,test,5.155260778814731
142,2,mineault,2,1,info,test,3.513675135702667
143,3,mineault,3,1,info,test,3.3298328795228
144,4,mineault,4,1,info,test,4.026777951967366
145,0,mineault,0,1,auc,test,0.8383614872788613
146,1,mineault,1,1,auc,test,0.8796123975338335
147,2,mineault,2,1,auc,test,0.8694390113493968
148,3,mineault,3,1,auc,test,0.9050202321374811
149,4,mineault,4,1,auc,test,0.8831275268959741
150,0,pachitariu,0,1,corr,test,0.49583715255320643
151,1,pachitariu,1,1,corr,test,0.5372450614675794
152,2,pachitariu,2,1,corr,test,0.48157184650620144
153,3,pachitariu,3,1,corr,test,0.5731056013923954
154,4,pachitariu,4,1,corr,test,0.5993382733360391
155,0,pachitariu,0,1,corr_bits,test,0.40708516548563634
156,1,pachitariu,1,1,corr_bits,test,0.49133253618782746
157,2,pachitariu,2,1,corr_bits,test,0.3806554390474117
158,3,pachitariu,3,1,corr_bits,test,0.5744333411201279
159,4,pachitariu,4,1,corr_bits,test,0.6420682793457201
160,0,pachitariu,0,1,rank,test,0.29992234938068596
161,1,pachitariu,1,1,rank,test,0.32642728859706094
162,2,pachitariu,2,1,rank,test,0.2580356912948351
163,3,pachitariu,3,1,rank,test,0.29782327090131694
164,4,pachitariu,4,1,rank,test,0.3034236579253562
165,0,pachitariu,0,1,info,test,4.147349540824827
166,1,pachitariu,1,1,info,test,4.76358642094397
167,2,pachitariu,2,1,info,test,3.2451956690497337
168,3,pachitariu,3,1,info,test,3.4526670653499085
169,4,pachitariu,4,1,info,test,4.286673452295142
170,0,pachitariu,0,1,auc,test,0.8358453191430812
171,1,pachitariu,1,1,auc,test,0.8766552617015511
172,2,pachitariu,2,1,auc,test,0.8720612838970295
173,3,pachitariu,3,1,auc,test,0.9261108242398219
174,4,pachitariu,4,1,auc,test,0.9123090417573306
175,0,ringach,0,1,corr,test,0.5578898748951405
176,1,ringach,1,1,corr,test,0.5489329217208193
177,2,ringach,2,1,corr,test,0.5236926016734675
178,3,ringach,3,1,corr,test,0.5920790376055767
179,4,ringach,4,1,corr,test,0.5846415299419301
180,0,ringach,0,1,corr_bits,test,0.5379290650812004
181,1,ringach,1,1,corr_bits,test,0.5173114340208422
182,2,ringach,2,1,corr_bits,test,0.4624632623380889
183,3,ringach,3,1,corr_bits,test,0.6227264888964268
184,4,ringach,4,1,corr_bits,test,0.6034146028140545
185,0,ringach,0,1,rank,test,0.3960842090281916
186,1,ringach,1,1,rank,test,0.3843636538967881
187,2,ringach,2,1,rank,test,0.2913091596519772
188,3,ringach,3,1,rank,test,0.3319514429724366
189,4,ringach,4,1,rank,test,0.3418513911683246
190,0,ringach,0,1,info,test,4.597856917168052
191,1,ringach,1,1,info,test,4.5564102542785285
192,2,ringach,2,1,info,test,3.0820104525860375
193,3,ringach,3,1,info,test,2.9767854202170323
194,4,ringach,4,1,info,test,3.570444173025435
195,0,ringach,0,1,auc,test,0.8433395483648699
196,1,ringach,1,1,auc,test,0.8477162277520007
197,2,ringach,2,1,auc,test,0.8389550438474945
198,3,ringach,3,1,auc,test,0.8705762442193892
199,4,ringach,4,1,auc,test,0.8548164558657833
200,0,rupprecht,0,1,corr,test,0.5510777064793663
201,1,rupprecht,1,1,corr,test,0.5946196374003445
202,2,rupprecht,2,1,corr,test,0.5598249387673586
203,3,rupprecht,3,1,corr,test,0.5979329573513786
204,4,rupprecht,4,1,corr,test,0.5960889287104357
205,0,rupprecht,0,1,corr_bits,test,0.5221913876241161
206,1,rupprecht,1,1,corr_bits,test,0.6294395504908046
207,2,rupprecht,2,1,corr_bits,test,0.5424665627732075
208,3,rupprecht,3,1,corr_bits,test,0.6382851312862627
209,4,rupprecht,4,1,corr_bits,test,0.6333493678039771
210,0,rupprecht,0,1,rank,test,0.31596458401471456
211,1,rupprecht,1,1,rank,test,0.3200659926441371
212,2,rupprecht,2,1,rank,test,0.24961107790631293
213,3,rupprecht,3,1,rank,test,0.2973623925275331
214,4,rupprecht,4,1,rank,test,0.2952407673113006
215,0,rupprecht,0,1,info,test,4.230802131773638
216,1,rupprecht,1,1,info,test,4.595064630743359
217,2,rupprecht,2,1,info,test,3.2658161313462752
218,3,rupprecht,3,1,info,test,3.3460355082303126
219,4,rupprecht,4,1,info,test,4.207701976313518
220,0,rupprecht,0,1,auc,test,0.8558851006678747
221,1,rupprecht,1,1,auc,test,0.8723091220246065
222,2,rupprecht,2,1,auc,test,0.8620579293064251
223,3,rupprecht,3,1,auc,test,0.9284043293504494
224,4,rupprecht,4,1,auc,test,0.9063762390339589
225,0,speiser,0,1,corr,test,0.5809007298667094
226,1,speiser,1,1,corr,test,0.6053295326723016
227,2,speiser,2,1,corr,test,0.5825664131581813
228,3,speiser,3,1,corr,test,0.5974717854194888
229,4,speiser,4,1,corr,test,0.6149216373261154
230,0,speiser,0,1,corr_bits,test,0.5938893070760173
231,1,speiser,1,1,corr_bits,test,0.6584100508300419
232,2,speiser,2,1,corr_bits,test,0.5981153656954267
233,3,speiser,3,1,corr_bits,test,0.6370477341948703
234,4,speiser,4,1,corr_bits,test,0.6853118725684769
235,0,speiser,0,1,rank,test,0.33193011072065715
236,1,speiser,1,1,rank,test,0.3370741535749632
237,2,speiser,2,1,rank,test,0.2596532788888133
238,3,speiser,3,1,rank,test,0.30017123014238173
239,4,speiser,4,1,rank,test,0.30947848937865324
240,0,speiser,0,1,info,test,4.884799473051919
241,1,speiser,1,1,info,test,5.156041221635931
242,2,speiser,2,1,info,test,3.5614113195003148
243,3,speiser,3,1,info,test,3.5236784119246085
244,4,speiser,4,1,info,test,4.345676696054479
245,0,speiser,0,1,auc,test,0.8741153370505657
246,1,speiser,1,1,auc,test,0.8925849874792877
247,2,speiser,2,1,auc,test,0.8767963510356187
248,3,speiser,3,1,auc,test,0.9325466119575355
249,4,speiser,4,1,auc,test,0.926115500739648
250,0,bolte,0,1,corr,test,0.516207020471404
251,1,bolte,1,1,corr,test,0.5745133853034987
252,2,bolte,2,1,corr,test,0.5393933937660654
