,index,algo,cell,dset,measure,split,value
0,0,stm,0,1,corr,test,0.6217506060880257
1,1,stm,1,1,corr,test,0.6094401187194636
2,2,stm,2,1,corr,test,0.56807220023278
3,3,stm,3,1,corr,test,0.6229299154108087
4,4,stm,4,1,corr,test,0.6770682016791998
5,0,stm,0,1,corr_bits,test,0.705038346159383
6,1,stm,1,1,corr_bits,test,0.6698254326974723
7,2,stm,2,1,corr_bits,test,0.5621459321591389
8,3,stm,3,1,corr_bits,test,0.7084946983018011
9,4,stm,4,1,corr_bits,test,0.8847572277426143
10,0,stm,0,1,rank,test,0.3816902683806288
11,1,stm,1,1,rank,test,0.41233494189826797
12,2,stm,2,1,rank,test,0.3156568085037202
13,3,stm,3,1,rank,test,0.3814756333115435
14,4,stm,4,1,rank,test,0.36789208856867445
15,0,stm,0,1,auc,test,0.8463251897925999
16,1,stm,1,1,auc,test,0.8771427037942073
17,2,stm,2,1,auc,test,0.8567844335818391
18,3,stm,3,1,auc,test,0.9328245492403653
19,4,stm,4,1,auc,test,0.9139530187585687
20,0,chenkov,0,1,corr,test,0.6493681917461297
21,1,chenkov,1,1,corr,test,0.6902201498445145
22,2,chenkov,2,1,corr,test,0.66237428173802
23,3,chenkov,3,1,corr,test,0.7105043066741129
24,4,chenkov,4,1,corr,test,0.735801025510077
25,0,chenkov,0,1,corr_bits,test,0.7900577255216519
26,1,chenkov,1,1,corr_bits,test,0.9334736201644255
27,2,chenkov,2,1,corr_bits,test,0.8332580510938417
28,3,chenkov,3,1,corr_bits,test,1.0139644722236898
29,4,chenkov,4,1,corr_bits,test,1.1247016467865478
30,0,chenkov,0,1,rank,test,0.37661722106827206
31,1,chenkov,1,1,rank,test,0.4064059242225926
32,2,chenkov,2,1,rank,test,0.31990083557875154
33,3,chenkov,3,1,rank,test,0.38001882089695493
34,4,chenkov,4,1,rank,test,0.37191227399276905
35,0,chenkov,0,1,auc,test,0.8415422495457876
36,1,chenkov,1,1,auc,test,0.8710456121092196
37,2,chenkov,2,1,auc,test,0.8612252995748081
38,3,chenkov,3,1,auc,test,0.930999648359883
39,4,chenkov,4,1,auc,test,0.9184583464488998
40,0,deneux,0,1,corr,test,0.6592245989531765
41,1,deneux,1,1,corr,test,0.7164972723677692
42,2,deneux,2,1,corr,test,0.6915232717302514
43,3,deneux,3,1,corr,test,0.7291746418081121
44,4,deneux,4,1,corr,test,0.7532152179859762
45,0,deneux,0,1,corr_bits,test,0.8225977086478518
46,1,deneux,1,1,corr_bits,test,1.039097914461654
47,2,deneux,2,1,corr_bits,test,0.9384434138150299
48,3,deneux,3,1,corr_bits,test,1.094481681271658
49,4,deneux,4,1,corr_bits,test,1.2086715547742566
50,0,deneux,0,1,rank,test,0.3719744735278626
51,1,deneux,1,1,rank,test,0.42522734080709057
52,2,deneux,2,1,rank,test,0.3303015963222594
53,3,deneux,3,1,rank,test,0.38327512255802787
54,4,deneux,4,1,rank,test,0.37065925738391114
55,0,deneux,0,1,auc,test,0.8373100177924098
56,1,deneux,1,1,auc,test,0.8886133274732931
57,2,deneux,2,1,auc,test,0.8734901720799421
58,3,deneux,3,1,auc,test,0.93473179379455
59,4,deneux,4,1,auc,test,0.9169100288919227
60,0,friedrich,0,1,corr,test,0.6358796382568241
61,1,friedrich,1,1,corr,test,0.7049171403838378
62,2,friedrich,2,1,corr,test,0.6774179394050193
63,3,friedrich,3,1,corr,test,0.7214125719896296
64,4,friedrich,4,1,corr,test,0.7426329638559094
65,0,friedrich,0,1,corr_bits,test,0.7474460715950193
66,1,friedrich,1,1,corr_bits,test,0.9911063476198063
67,2,friedrich,2,1,corr_bits,test,0.8860196948077862
68,3,friedrich,3,1,corr_bits,test,1.0602050304721822
69,4,friedrich,4,1,corr_bits,test,1.1568320727593493
70,0,friedrich,0,1,rank,test,0.3979233021209799
71,1,friedrich,1,1,rank,test,0.493533814173303
72,2,friedrich,2,1,rank,test,0.41295800937082755
73,3,friedrich,3,1,rank,test,0.45790592911431593
74,4,friedrich,4,1,rank,test,0.440475319456912
75,0,friedrich,0,1,auc,test,0.8163906793496349
76,1,friedrich,1,1,auc,test,0.8298915723777417
77,2,friedrich,2,1,auc,test,0.8483272570995917
78,3,friedrich,3,1,auc,test,0.8972791462055114
79,4,friedrich,4,1,auc,test,0.8842900240705868
80,0,machado,0,1,corr,test,0.6228855046985595
81,1,machado,1,1,corr,test,0.6662535910211258
82,2,machado,2,1,corr,test,0.6641259228454142
83,3,machado,3,1,corr,test,0.6874939585576803
84,4,machado,4,1,corr,test,0.6884751667538399
85,0,machado,0,1,corr_bits,test,0.7083642691999656
86,1,machado,1,1,corr_bits,test,0.8465677964750125
87,2,machado,2,1,corr_bits,test,0.8392430375948354
88,3,machado,3,1,corr_bits,test,0.9231616771722829
89,4,machado,4,1,corr_bits,test,0.9268599613486022
90,0,machado,0,1,rank,test,0.3780093508808847
91,1,machado,1,1,rank,test,0.39841288599114977
92,2,machado,2,1,rank,test,0.33126112566418003
93,3,machado,3,1,rank,test,0.3882994718875709
94,4,machado,4,1,rank,test,0.3580436036642054
95,0,machado,0,1,auc,test,0.8168553278884272
96,1,machado,1,1,auc,test,0.8486332367574398
97,2,machado,2,1,auc,test,0.8504111845117834
98,3,machado,3,1,auc,test,0.9169660982074034
99,4,machado,4,1,auc,test,0.8866721022260022
100,0,mineault,0,1,corr,test,0.6023195304933483
101,1,mineault,1,1,corr,test,0.7191759581686381
102,2,mineault,2,1,corr,test,0.6861949097197306
103,3,mineault,3,1,corr,test,0.7024764744532485
104,4,mineault,4,1,corr,test,0.7438425908491266
105,0,mineault,0,1,corr_bits,test,0.6501565082096403
106,1,mineault,1,1,corr_bits,test,1.0505444297049007
107,2,mineault,2,1,corr_bits,test,0.9182880310800543
108,3,mineault,3,1,corr_bits,test,0.9812894837071829
109,4,mineault,4,1,corr_bits,test,1.1626276535442546
110,0,mineault,0,1,rank,test,0.43273781081158935
111,1,mineault,1,1,rank,test,0.4708083378504837
112,2,mineault,2,1,rank,test,0.34861165116797943
113,3,mineault,3,1,rank,test,0.4447578795924656
114,4,mineault,4,1,rank,test,0.507650528144036
115,0,mineault,0,1,auc,test,0.8360187423914036
116,1,mineault,1,1,auc,test,0.8815174803717343
117,2,mineault,2,1,auc,test,0.8616933324927059
118,3,mineault,3,1,auc,test,0.9076908223464992
119,4,mineault,4,1,auc,test,0.8776927912287398
120,0,pachitariu,0,1,corr,test,0.5842699572840033
121,1,pachitariu,1,1,corr,test,0.6660178042006489
122,2,pachitariu,2,1,corr,test,0.5993639425329708
123,3,pachitariu,3,1,corr,test,0.6909883262371286
124,4,pachitariu,4,1,corr,test,0.7210129264799049
125,0,pachitariu,0,1,corr_bits,test,0.6024628973646725
126,1,pachitariu,1,1,corr_bits,test,0.8457530801178299
127,2,pachitariu,2,1,corr_bits,test,0.6421375565522897
128,3,pachitariu,3,1,corr_bits,test,0.9364000538533445
129,4,pachitariu,4,1,corr_bits,test,1.0584718831013675
130,0,pachitariu,0,1,rank,test,0.3636022224226439
131,1,pachitariu,1,1,rank,test,0.4136006560676926
132,2,pachitariu,2,1,rank,test,0.3250597395023344
133,3,pachitariu,3,1,rank,test,0.3760932738187003
134,4,pachitariu,4,1,rank,test,0.358610718903652
135,0,pachitariu,0,1,auc,test,0.8282863212810535
136,1,pachitariu,1,1,auc,test,0.8750507605731361
137,2,pachitariu,2,1,auc,test,0.8658158782601553
138,3,pachitariu,3,1,auc,test,0.9240624337795631
139,4,pachitariu,4,1,auc,test,0.8989271862374982
140,0,ringach,0,1,corr,test,0.6471668746986713
141,1,ringach,1,1,corr,test,0.6607093069804107
142,2,ringach,2,1,corr,test,0.6396645901883402
143,3,ringach,3,1,corr,test,0.7069559590325057
144,4,ringach,4,1,corr,test,0.7016041823411974
145,0,ringach,0,1,corr_bits,test,0.7829553598968667
146,1,ringach,1,1,corr_bits,test,0.8276066745068855
147,2,ringach,2,1,corr_bits,test,0.7591869366061806
148,3,ringach,3,1,corr_bits,test,0.9993847583243524
149,4,ringach,4,1,corr_bits,test,0.9778052957002582
150,0,ringach,0,1,rank,test,0.460829408698993
151,1,ringach,1,1,rank,test,0.45975298921570024
152,2,ringach,2,1,rank,test,0.34451804859309393
153,3,ringach,3,1,rank,test,0.39473709427173287
154,4,ringach,4,1,rank,test,0.37465814912611783
155,0,ringach,0,1,auc,test,0.8423909398486674
156,1,ringach,1,1,auc,test,0.8480291732786216
157,2,ringach,2,1,auc,test,0.8339996656770012
158,3,ringach,3,1,auc,test,0.8700536212789872
159,4,ringach,4,1,auc,test,0.8387447353308761
160,0,rupprecht,0,1,corr,test,0.6359354325592073
161,1,rupprecht,1,1,corr,test,0.6916686011643155
162,2,rupprecht,2,1,corr,test,0.6679052142891165
163,3,rupprecht,3,1,corr,test,0.7024946814143498
164,4,rupprecht,4,1,corr,test,0.7262746178927152
165,0,rupprecht,0,1,corr_bits,test,0.7476179486545891
166,1,rupprecht,1,1,corr_bits,test,0.9389993101806289
167,2,rupprecht,2,1,corr_bits,test,0.8522957200088765
168,3,rupprecht,3,1,corr_bits,test,0.9813623435025276
169,4,rupprecht,4,1,corr_bits,test,1.081536886750369
170,0,rupprecht,0,1,rank,test,0.3796645122714718
171,1,rupprecht,1,1,rank,test,0.40679954205989555
172,2,rupprecht,2,1,rank,test,0.31325037954898083
173,3,rupprecht,3,1,rank,test,0.37660637859183366
174,4,rupprecht,4,1,rank,test,0.3484749191210296
175,0,rupprecht,0,1,auc,test,0.8444078015824753
176,1,rupprecht,1,1,auc,test,0.8711418166867345
177,2,rupprecht,2,1,auc,test,0.8536621575478814
178,3,rupprecht,3,1,auc,test,0.9270778629494159
179,4,rupprecht,4,1,auc,test,0.8913948459575528
180,0,speiser,0,1,corr,test,0.6734727835976698
181,1,speiser,1,1,corr,test,0.7154431551338476
182,2,speiser,2,1,corr,test,0.6910961658473297
183,3,speiser,3,1,corr,test,0.706225771478639
184,4,speiser,4,1,corr,test,0.7387576266198156
185,0,speiser,0,1,corr_bits,test,0.871879759836889
186,1,speiser,1,1,corr_bits,test,1.034629891812647
187,2,speiser,2,1,corr_bits,test,0.9368116145474529
188,3,speiser,3,1,corr_bits,test,0.9964116947140915
189,4,speiser,4,1,corr_bits,test,1.138482331823211
190,0,speiser,0,1,rank,test,0.4009843788826392
191,1,speiser,1,1,rank,test,0.42783389562893076
192,2,speiser,2,1,rank,test,0.3244776309328606
193,3,speiser,3,1,rank,test,0.3800809704477097
194,4,speiser,4,1,rank,test,0.36927510027887095
195,0,speiser,0,1,auc,test,0.8642339968286311
196,1,speiser,1,1,auc,test,0.8912037623078566
197,2,speiser,2,1,auc,test,0.8666238255073023
198,3,speiser,3,1,auc,test,0.9311940869180664
199,4,speiser,4,1,auc,test,0.9154410221232457
200,0,bolte,0,1,corr,test,0.6042015174094191
201,1,bolte,1,1,corr,test,0.6803787301048118
202,2,bolte,2,1,corr,test,0.6476280881941592
203,3,bolte,3,1,corr,test,0.6636039201119948
204,4,bolte,4,1,corr,test,0.6858654256315184
205,0,bolte,0,1,corr_bits,test,0.655306631102732
206,1,bolte,1,1,corr_bits,test,0.8967782464260269
207,2,bolte,2,1,corr_bits,test,0.7844385397482772
208,3,bolte,3,1,corr_bits,test,0.8374552116373114
209,4,bolte,4,1,corr_bits,test,0.9170559792416192
210,0,bolte,0,1,rank,test,0.3845833687432787
211,1,bolte,1,1,rank,test,0.40951034062336417
212,2,bolte,2,1,rank,test,0.3077585586336535
213,3,bolte,3,1,rank,test,0.3702350040780116
214,4,bolte,4,1,rank,test,0.3464230990533746
215,0,bolte,0,1,auc,test,0.849448670972297
216,1,bolte,1,1,auc,test,0.8738550389426003
217,2,bolte,2,1,auc,test,0.8472348268162522
218,3,bolte,3,1,auc,test,0.9199334455817725
219,4,bolte,4,1,auc,test,0.8893406490490969
220,0,oopsi,0,1,corr,test,0.5873412574497917
221,1,oopsi,1,1,corr,test,
222,2,oopsi,2,1,corr,test,0.5920809356191652
223,3,oopsi,3,1,corr,test,0.6216610383150615
224,4,oopsi,4,1,corr,test,0.6606422192142601
225,0,oopsi,0,1,corr_bits,test,0.6103665674460229
226,1,oopsi,1,1,corr_bits,test,
227,2,oopsi,2,1,corr_bits,test,0.6227314816983526
228,3,oopsi,3,1,corr_bits,test,0.7047764437374829
229,4,oopsi,4,1,corr_bits,test,0.827379721200506
230,0,oopsi,0,1,rank,test,0.3762756375066248
231,1,oopsi,1,1,rank,test,
232,2,oopsi,2,1,rank,test,0.3288877965119114
233,3,oopsi,3,1,rank,test,0.4000847674468551
234,4,oopsi,4,1,rank,test,0.43527604791891533
235,0,oopsi,0,1,auc,test,0.7868436580833617
236,1,oopsi,1,1,auc,test,0.5
237,2,oopsi,2,1,auc,test,0.7854850411666524
238,3,oopsi,3,1,auc,test,0.8362788951436809
