,index,algo,cell,dset,measure,split,value
0,0,stm,0,1,corr,test,0.7005680422670434
1,1,stm,1,1,corr,test,0.7344200270250497
2,2,stm,2,1,corr,test,0.6955660607010514
3,3,stm,3,1,corr,test,0.7212327347204192
4,4,stm,4,1,corr,test,0.7709803846773181
5,0,stm,0,1,corr_bits,test,0.9736831579313019
6,1,stm,1,1,corr_bits,test,1.1183284153428086
7,2,stm,2,1,corr_bits,test,0.9540318965931489
8,3,stm,3,1,corr_bits,test,1.0594247515557484
9,4,stm,4,1,corr_bits,test,1.3019086928155552
10,0,stm,0,1,rank,test,0.46211779065317365
11,1,stm,1,1,rank,test,0.5039925384746948
12,2,stm,2,1,rank,test,0.41009857170063646
13,3,stm,3,1,rank,test,0.47412926993290677
14,4,stm,4,1,rank,test,0.4280998431917397
15,0,stm,0,1,auc,test,0.8388260617980903
16,1,stm,1,1,auc,test,0.868834630313511
17,2,stm,2,1,auc,test,0.859287964445452
18,3,stm,3,1,auc,test,0.9321782945736434
19,4,stm,4,1,auc,test,0.9014776198947614
20,0,chenkov,0,1,corr,test,0.7069129717437828
21,1,chenkov,1,1,corr,test,0.7922402391503227
22,2,chenkov,2,1,corr,test,0.7528015588997929
23,3,chenkov,3,1,corr,test,0.8062311004054179
24,4,chenkov,4,1,corr,test,0.8271538904616116
25,0,chenkov,0,1,corr_bits,test,0.9992094743746254
26,1,chenkov,1,1,corr_bits,test,1.4252478013782217
27,2,chenkov,2,1,corr_bits,test,1.2065957770991595
28,3,chenkov,3,1,corr_bits,test,1.514608569831879
29,4,chenkov,4,1,corr_bits,test,1.6628418146178727
30,0,chenkov,0,1,rank,test,0.4518595851290707
31,1,chenkov,1,1,rank,test,0.49069578869705516
32,2,chenkov,2,1,rank,test,0.4107147576832445
33,3,chenkov,3,1,rank,test,0.47100640388666043
34,4,chenkov,4,1,rank,test,0.433586163273705
35,0,chenkov,0,1,auc,test,0.8304767431732508
36,1,chenkov,1,1,auc,test,0.8575530576678061
37,2,chenkov,2,1,auc,test,0.8590168657400191
38,3,chenkov,3,1,auc,test,0.9290957739434859
39,4,chenkov,4,1,auc,test,0.9067462551485341
40,0,deneux,0,1,corr,test,0.717828787221496
41,1,deneux,1,1,corr,test,0.8135242689327079
42,2,deneux,2,1,corr,test,0.7812550963188835
43,3,deneux,3,1,corr,test,0.830002306882061
44,4,deneux,4,1,corr,test,0.8466160556690565
45,0,deneux,0,1,corr_bits,test,1.0447710308492437
46,1,deneux,1,1,corr_bits,test,1.5641441602510633
