,index,algo,cell,dset,measure,rel value,split,value
0,0,stm,0.0,1,corr,,test,0.524730981559951
1,1,stm,1.0,1,corr,,test,0.48611735593820293
2,2,stm,2.0,1,corr,,test,0.4545474193573354
3,3,stm,3.0,1,corr,,test,0.5120643385102494
4,4,stm,4.0,1,corr,,test,0.560147979737305
5,0,chenkov,0.0,1,corr,0.03828186548428936,test,0.5630128470442404
6,1,chenkov,1.0,1,corr,0.10153923614115834,test,0.5876565920793613
7,2,chenkov,2.0,1,corr,0.09540041326173493,test,0.5499478326190703
8,3,chenkov,3.0,1,corr,0.08538889369205238,test,0.5974532322023017
9,4,chenkov,4.0,1,corr,0.04407095819537321,test,0.6042189379326782
10,0,deneux,0.0,1,corr,0.04835493443494332,test,0.5730859159948943
11,1,deneux,1.0,1,corr,0.12552399822145233,test,0.6116413541596553
12,2,deneux,2.0,1,corr,0.12325559626346488,test,0.5778030156208003
13,3,deneux,3.0,1,corr,0.10668779899612257,test,0.6187521375063719
14,4,deneux,4.0,1,corr,0.06529580591018525,test,0.6254437856474903
15,0,friedrich,0.0,1,corr,0.027281047338941544,test,0.5520120288988926
16,1,friedrich,1.0,1,corr,0.11701590193786837,test,0.6031332578760713
17,2,friedrich,2.0,1,corr,0.11046952196846066,test,0.565016941325796
18,3,friedrich,3.0,1,corr,0.09659361620847329,test,0.6086579547187226
19,4,friedrich,4.0,1,corr,0.054528250770663145,test,0.6146762305079682
20,0,machado,0.0,1,corr,0.007716945115873619,test,0.5324479266758246
21,1,machado,1.0,1,corr,0.062014624819240804,test,0.5481319807574437
22,2,machado,2.0,1,corr,0.08862956972895158,test,0.543176989086287
23,3,machado,3.0,1,corr,0.06374684595632618,test,0.5758111844665755
24,4,machado,4.0,1,corr,0.009005519508597515,test,0.5691534992459025
25,0,mineault,0.0,1,corr,-0.009295393322170109,test,0.5154355882377809
26,1,mineault,1.0,1,corr,0.13230430926206982,test,0.6184216652002728
27,2,mineault,2.0,1,corr,0.1224907456824535,test,0.5770381650397889
28,3,mineault,3.0,1,corr,0.08473671170760255,test,0.5968010502178519
29,4,mineault,4.0,1,corr,0.05508618873398052,test,0.6152341684712855
30,0,pachitariu,0.0,1,corr,-0.028893829006744587,test,0.49583715255320643
31,1,pachitariu,1.0,1,corr,0.05112770552937651,test,0.5372450614675794
32,2,pachitariu,2.0,1,corr,0.027024427148866048,test,0.48157184650620144
33,3,pachitariu,3.0,1,corr,0.06104126288214606,test,0.5731056013923954
34,4,pachitariu,4.0,1,corr,0.03919029359873405,test,0.5993382733360391
35,0,ringach,0.0,1,corr,0.03315889333518951,test,0.5578898748951405
36,1,ringach,1.0,1,corr,0.06281556578261638,test,0.5489329217208193
37,2,ringach,2.0,1,corr,0.06914518231613215,test,0.5236926016734675
38,3,ringach,3.0,1,corr,0.08001469909532732,test,0.5920790376055767
39,4,ringach,4.0,1,corr,0.02449355020462507,test,0.5846415299419301
40,0,rupprecht,0.0,1,corr,0.026346724919415254,test,0.5510777064793663
41,1,rupprecht,1.0,1,corr,0.10850228146214158,test,0.5946196374003445
42,2,rupprecht,2.0,1,corr,0.10527751941002322,test,0.5598249387673586
43,3,rupprecht,3.0,1,corr,0.08586861884112929,test,0.5979329573513786
44,4,rupprecht,4.0,1,corr,0.035940948973130715,test,0.5960889287104357
45,0,speiser,0.0,1,corr,0.05616974830675836,test,0.5809007298667094
46,1,speiser,1.0,1,corr,0.11921217673409867,test,0.6053295326723016
47,2,speiser,2.0,1,corr,0.12801899380084586,test,0.5825664131581813
48,3,speiser,3.0,1,corr,0.0854074469092394,test,0.5974717854194888
49,4,speiser,4.0,1,corr,0.054773657588810365,test,0.6149216373261154
50,0,oopsi,0.0,1,corr,-0.05747256215945007,test,0.46725841940050095
51,1,oopsi,1.0,1,corr,,test,
52,2,oopsi,2.0,1,corr,0.002000569587417289,test,0.4565479889447527
53,3,oopsi,3.0,1,corr,-0.017541628978874513,test,0.49452270953137484
54,4,oopsi,4.0,1,corr,-0.09048613632881891,test,0.4696618434084861
55,0,stm,0.0,2,corr,,test,0.2937624862740665
56,1,stm,1.0,2,corr,,test,0.5006854458672172
57,2,stm,2.0,2,corr,,test,0.4845840364611396
58,3,stm,3.0,2,corr,,test,0.44817260564554073
59,4,stm,4.0,2,corr,,test,0.353773177599277
60,5,stm,5.0,2,corr,,test,0.030542550325374236
61,6,stm,6.0,2,corr,,test,0.42667334512286875
62,7,stm,7.0,2,corr,,test,0.24746190397343004
63,8,stm,8.0,2,corr,,test,0.5250330152501976
64,9,stm,9.0,2,corr,,test,0.17946549615416266
65,0,chenkov,0.0,2,corr,-0.01231310497640098,test,0.2814493812976655
66,1,chenkov,1.0,2,corr,0.01775191172117596,test,0.5184373575883932
67,2,chenkov,2.0,2,corr,0.04302393248688169,test,0.5276079689480213
68,3,chenkov,3.0,2,corr,0.02461110249862991,test,0.47278370814417064
69,4,chenkov,4.0,2,corr,0.057346019290470285,test,0.4111191968897473
70,5,chenkov,5.0,2,corr,0.14482311575270757,test,0.1753656660780818
71,6,chenkov,6.0,2,corr,0.05277816329771362,test,0.4794515084205824
72,7,chenkov,7.0,2,corr,0.011253981669074542,test,0.2587158856425046
73,8,chenkov,8.0,2,corr,0.0633324981756973,test,0.5883655134258949
74,9,chenkov,9.0,2,corr,0.07166075147162423,test,0.2511262476257869
75,0,deneux,0.0,2,corr,-0.010133400103625678,test,0.2836290861704408
76,1,deneux,1.0,2,corr,0.016686707168419912,test,0.5173721530356371
77,2,deneux,2.0,2,corr,0.044764067351246106,test,0.5293481038123857
78,3,deneux,3.0,2,corr,0.013870804921834123,test,0.46204341056737486
