,index,algo,cell,dset,measure,split,value
104,4,mineault,4,1,corr,test,0.8851523946708538
105,0,mineault,0,1,corr_bits,test,1.079025783734638
106,1,mineault,1,1,corr_bits,test,2.2122961039103877
107,2,mineault,2,1,corr_bits,test,1.7991912793192422
108,3,mineault,3,1,corr_bits,test,1.7977412480322243
109,4,mineault,4,1,corr_bits,test,2.2075261644114015
110,0,mineault,0,1,rank,test,0.5828719312198701
111,1,mineault,1,1,rank,test,0.6743340059543792
112,2,mineault,2,1,rank,test,0.5388921753761629
113,3,mineault,3,1,rank,test,0.5935365076691489
114,4,mineault,4,1,rank,test,0.5738041542293786
115,0,mineault,0,1,auc,test,0.8318269650314779
116,1,mineault,1,1,auc,test,0.8894573643410854
117,2,mineault,2,1,auc,test,0.8603048747554872
118,3,mineault,3,1,auc,test,0.9122196236844902
119,4,mineault,4,1,auc,test,0.8584127582566732
120,0,pachitariu,0,1,corr,test,0.680541343420671
121,1,pachitariu,1,1,corr,test,0.8731142617284942
122,2,pachitariu,2,1,corr,test,0.8058279877548122
123,3,pachitariu,3,1,corr,test,0.8590734374735571
124,4,pachitariu,4,1,corr,test,0.8757105563856218
125,0,pachitariu,0,1,corr_bits,test,0.897372825891485
126,1,pachitariu,1,1,corr_bits,test,2.0729592649034534
127,2,pachitariu,2,1,corr_bits,test,1.5119323507643248
128,3,pachitariu,3,1,corr_bits,test,1.9324007704079906
129,4,pachitariu,4,1,corr_bits,test,2.100787106326288
130,0,pachitariu,0,1,rank,test,0.5046505476573628
131,1,pachitariu,1,1,rank,test,0.653070003219677
132,2,pachitariu,2,1,rank,test,0.544220951381497
133,3,pachitariu,3,1,rank,test,0.5816658623762943
134,4,pachitariu,4,1,rank,test,0.48213899775965835
135,0,pachitariu,0,1,auc,test,0.7952047433129524
136,1,pachitariu,1,1,auc,test,0.8813436692506459
137,2,pachitariu,2,1,auc,test,0.8672093498369133
138,3,pachitariu,3,1,auc,test,0.9267101626448389
139,4,pachitariu,4,1,auc,test,0.8721082792942241
140,0,ringach,0,1,corr,test,0.7557351765885195
141,1,ringach,1,1,corr,test,0.7988240000900753
142,2,ringach,2,1,corr,test,0.8043444575858623
143,3,ringach,3,1,corr,test,0.8381447338892016
144,4,ringach,4,1,corr,test,0.8322811590271164
145,0,ringach,0,1,corr_bits,test,1.22140672414084
146,1,ringach,1,1,corr_bits,test,1.4664158536845242
147,2,ringach,2,1,corr_bits,test,1.502137334311829
148,3,ringach,3,1,corr_bits,test,1.7489734215291504
149,4,ringach,4,1,corr_bits,test,1.7022424309330304
150,0,ringach,0,1,rank,test,0.6071048033411701
151,1,ringach,1,1,rank,test,0.6344921481001596
152,2,ringach,2,1,rank,test,0.5020251752251279
153,3,ringach,3,1,rank,test,0.5358401352968871
154,4,ringach,4,1,rank,test,0.44333409108461164
155,0,ringach,0,1,auc,test,0.8455571107194868
156,1,ringach,1,1,auc,test,0.8597305278700627
157,2,ringach,2,1,auc,test,0.8301854891545555
158,3,ringach,3,1,auc,test,0.880432125013288
159,4,ringach,4,1,auc,test,0.8251892625546673
160,0,rupprecht,0,1,corr,test,0.7072938732575943
161,1,rupprecht,1,1,corr,test,0.8655986630544954
162,2,rupprecht,2,1,corr,test,0.8315353033378743
163,3,rupprecht,3,1,corr,test,0.8650392573927164
164,4,rupprecht,4,1,corr,test,0.8859209662925953
165,0,rupprecht,0,1,corr_bits,test,1.0007637431278111
166,1,rupprecht,1,1,corr_bits,test,1.9957419458453147
167,2,rupprecht,2,1,corr_bits,test,1.696428292266604
168,3,rupprecht,3,1,corr_bits,test,1.990182279621417
169,4,rupprecht,4,1,corr_bits,test,2.2166252101748567
170,0,rupprecht,0,1,rank,test,0.5348979901993908
171,1,rupprecht,1,1,rank,test,0.6549828203476804
172,2,rupprecht,2,1,rank,test,0.5145276258422578
173,3,rupprecht,3,1,rank,test,0.562245904985533
174,4,rupprecht,4,1,rank,test,0.47840747105209086
175,0,rupprecht,0,1,auc,test,0.8143530927299548
176,1,rupprecht,1,1,auc,test,0.8846622369878183
177,2,rupprecht,2,1,auc,test,0.8435893642552372
178,3,rupprecht,3,1,auc,test,0.9119711385138727
179,4,rupprecht,4,1,auc,test,0.869636555572312
180,0,speiser,0,1,corr,test,0.7455105684898408
181,1,speiser,1,1,corr,test,0.8866811383362624
182,2,speiser,2,1,corr,test,0.8543161310752067
183,3,speiser,3,1,corr,test,0.8521332626992545
184,4,speiser,4,1,corr,test,0.8725413162461324
185,0,speiser,0,1,corr_bits,test,1.1706732579220034
186,1,speiser,1,1,corr_bits,test,2.225689461992026
187,2,speiser,2,1,corr_bits,test,1.8881997320844484
